"","Name","Alter Ego","Occupation","Marital Status","Known Relatives","Group Affiliation","Base of Operations","Height","Weight","Hair","Eyes","First Appearance"
"119","Zatanna (Earth-1)","Zatanna Zatara","Stage Magician, Adventurer","Single","Leonardo Da Vinci (reputed ancestor, deceased), Luigi Zatara (great-grandfather, deceased), John Zatara (father, deceased), Sindella (mother, deceased)","Justice League of America","Mobile, later New York City, now Unknown","5 ft. 7 in.","127 lbs.","Black","Blue","Hawkman #4"
"120","Firestorm (Earth-1)","Ronald Raymond (originally Rockwell)","College Student","Single","Edward Raymond (originally Rockwell, father), Elaine Rockwell (mother, deceased)","Justice League of America","Pittsburgh, Pennsylvania, formerly New York City","6 ft. 2 in.","202 lbs.","Inapplicable","White","Firestorm #1"
"121","Power Girl (Earth-2)","Karen Starr","Software Designer","Single","Kal-L (cousin), Zor-L and Allura (parents, deceased), Jor-L (uncle, deceased), Lara (aunt, deceased)","Justice Society of America; Infinity, Inc.","Metropolis","5 ft. 7 in.","148 lbs.","Blond","Blue","All-Star Comics #58"
"122","Huntress (Earth-2)","Helena Wayne","Lawyer","Single","Thomas and Martha Wayne (grandparents, deceased), Bruce Wayne (father, deceased), Selina Kyle (mother, deceased), Karl Kyle (uncle)","Justice Society of America; Infinity, Inc.","Gotham City","5 ft. 10 in.","127 lbs.","Black","Blue","All-Star Comics #69"
"123","Infinity, Inc. (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All-Star Squadron #25"
"124","Secret Society of Super-Villains (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Society of Super-Villains #1"
"125","Robin/Nightwing (Earth-1)","Richard ""Dick"" Grayson","Adventurer","Single","The Flying Graysons (parents, deceased)","New Teen Titans","New York City","5 ft. 10 in.","175 lbs.","Black","Blue","Superman #76"
"126","Freedom Fighters (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Justice League of America #107"
"127","Captain Marvel (Earth-S)","William (Billy) Batson","Television Newscaster","Single","Merrill and Jocelyn Batson (parents, deceased), Mary Batson (sister), Ebenezer Batson (uncle)","Marvel Family","Fawcett City","6 ft. 4 in.","212 lbs.","Black","Blue","Whiz Comics 2 (#1)"
"128","Captain Marvel, Jr. (Earth-S)","Freddie Freeman","Newsdealer","Single","David and Rebecca Freeman (parents, deceased), Christopher (brother, semi-deceased), Grandfather Freeman (deceased), Grandfather Troop (deceased)","The Marvel Family","Fawcett City","5 ft. 10 in.","164 lbs.","Black","Blue","Whiz Comics #25"
"129","Mary Marvel (Earth-S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captain Marvel Adventures #18"
"130","Merry (Earth-2)","Merry Pemberton","High School Student","Single during active career; later married","""Fly-Foot"" Creamer (real father, deceased), Sylvester Pemberton Sr. (adoptive father, deceased), Mrs. Pemberton (adoptive mother, deceased), Sylvester Pemberton Jr. (adoptive brother), another adoptive brother (name unknown), Arthur Pemberton (nephew), Henry King (husband, deceased), Henry King Jr. (son)","None","Civic City","5 ft. 3 in.","105 lbs.","Red","Green","Star Spangled Comics #81"
"131","Lois Lane (Earth-1)",NA,"Newspaper Reporter, Sometime Television Reporter","Single","Samuel Lane (father), Ella Lane (mother), Lucy Lane (sister), Louis Lane (cousin)","Daily Planet Staff","City of Metropolis","5 ft. 7 in.","122 lbs.","Black","Blue","Superman #46"
"132","Catwoman (Earth-1)","Selina Kyle","Ex-criminal, now Professional Adventurer","Single",NA,NA,"Gotham City","5 ft. 7 in.","128 lbs.","Black","Green","Detective Comics #203"
"133","Silent Knight (Earth-1)","Brian Kent","Apprentice in Knighthood","Single","Sir Edwin Kent (father, deceased)","None","Greystone Castle, England, circa 6th Century A.D.","5 ft. 10 in.","171 lbs.","Blond","Blue","Brave and the Bold #1"
"134","Super-Chief (Earth-1)","Flying Stag","Warrior, Hunter","Single","None","Iroquois tribes","Dayodanadaga, 1492 A.D.","5 ft. 10 in.","170 lbs.","Black","Gray","All Star Western #117"
"135","Swamp Thing (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"House of Secrets #92"
"136","Legion of Super-Heroes (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adventure Comics #247"
"137","Outsiders (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brave and the Bold #200"
"138","Black Lightning (Earth-1)","Jefferson Pierce","High School English Teacher","Divorced","Parents (unnamed, deceased), Lynn Stewart (ex-wife)","The Outsiders","Gotham City","6 ft. 1 in.","182 lbs.","Black","Brown","Black Lightning #1"
"139","Captain Comet (Earth-1)","Adam Blake","Former Librarian; Professional Adventurer","Single","John and Martha Blake (parents)","None","Mobile","6 ft. 2 in.","190 lbs.","Brown","Brown","Strange Adventures #9"
"140","Blue Beetle (Earth-4)","Theodore (Ted) Kord","Research Scientist","Single","Thomas Kord (father), Jarvis Kord (uncle, deceased)","None","Hub City","5 ft. 11 in.","184 lbs.","Brown","Blue","Captain Atom #83"
"141","Supergirl (Earth-1)","Linda Lee Danvers; Kara Zor-El","Student, TV Camera Operator, Student Advisor, TV Actress","Single","Zor-El (father), Alura (mother), Kal-El (cousin), Jor-El (uncle, deceased), Lara (aunt, deceased), Fred and Edna Danvers (adoptive parents)","Legion of Super-Heroes","Midvale, Stanhope University, San Francisco, Santa Augusta, Florida, New York City, and finally Chicago","5 ft. 7 in.","123 lbs.","Blonde","Blue","Action Comics #252"
"142","Black Canary (Earth-1)","Dinah Laurel Lance","Florist","Single","Richard Drake (grandfather, deceased), Larry and Dinah Drake Lance (parents, deceased)","Justice League of America","Star City","5 ft. 5 in.","127 lbs.","Blond (wig)","Blue","Justice League of America #75"
"143","Golden Gladiator (Earth-1)","Marcus","Former Shepherd, Former Slave, now Warrior","Single","None","None","Ancient Rome","6 ft. 4 in.","205 lbs.","Black","Blue","Brave and the Bold #1"
"144","Don Caballero (Earth-1)","Unknown","Fencing Instructor","Single","None","None","Early 19th Century California","5 ft. 11 in.","178 lbs.","Black","Brown","All-Star Western #58"
"145","Roving Ranger (Earth-1)","Jeff Graham","Texas Ranger","Single","None",NA,"Texas, late 1860s",NA,NA,NA,NA,"All-Star Western #58"
"146","Valda (Earth-1)","None","Knight","Single","Bradamante (mother, deceased), Carolus Magnus (Charlemagne, reputed father), Rinaldo (uncle)","The Twelve Peers of Carolus Magnus's court","Aix-la-Chapelle, Frankland, in the 8th Century","5 ft. 6 in.","113 lbs.","Brwn","Blue","Arak/Son of Thunder #3"
"147","Arak (Earth-1)","Arak Red-Hand (Bright-Sky-After-Storm)","Shaman","Single","He-No, the Thunder God (father), Star-of-Dawn (mother)","Quontauka Indian tribe, ally of Carolus Magnus","8th Century Europe, Asia, America","6 ft.","190 lbs.","Black","Brown","Warlord #48"
"148","Creeper (Earth-1)","Jack Ryder","Investigative Reporter","Single","None","None","Boston, Mass.","6 ft.","194 lbs.","Green","Black","Showcase #73"
"149","Trigger Twins (Earth-1)","Walter and Wayne Trigger","Sheriff and Merchant","Single","None","None","Rocky City","6 ft.","160 lbs.","Reddish Blond","Blue","All-Star Western #58"
"150","Joker (Earth-1)","Unknown","Professional Criminal","Single","None","None","Gotham City","6 ft. 5 in.","192 lbs.","Green","Green","Batman #85"
"151","Doom Patrol (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My Greatest Adventure #80"
"152","Eclipso (Earth-1)","Dr. Bruce Gordon","Physicist","Single","None","None","Mobile, most recently, Los Angeles, California","6 ft. 1 in.","195 lbs.","Blond","Blue","House of Secrets #61"
"153","Red Tornado (Earth-1)","John Smith; Tornado Champion; Tornado Tyrant","Former Adventurer and Office Worker, now Force of Nature","Single","None","Justice Society of America; Justice League of America","Mobile","6 ft. 1 in.","325 lbs.","None","Blue","Justice League of America #64"
"154","Plastic Man (Earth-1)","""Eel"" O'Brian","Law Enforcement Agent, Former Professional Criminal","Single","None","N.B.I.","Unnamed American city","6 ft. 1 in.","180 lbs.","Blue","Black","Brave and the Bold #95"
"155","Superboy (Earth-1)","Clark Kent","Student","Single","Jor-El (father, deceased), Lara (mother, deceased), Kara Zor-El (cousin), Zor-El (uncle), Allura (aunt), Jonathan and Martha Kent (adoptive parents)","Legion of Super-Heroes","Smallville","5 ft. 11 in.","163 lbs.","Black","Blue","More Fun Comics #101"
"156","Suicide Squad (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brave and the Bold #25"
"157","Sea Devils (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Showcase #27"
"158","Kid Flash (Earth-1)","Wallace (Wally) West","College Student","Single","Bob West (father), Marion West (mother), Barry Allen (uncle, deceased), Iris West Allen (aunt), Ira West (grandfather)","The Teen Titans","Blue Valley, and sometimes Titans Tower, Manhattan","5 ft. 10 in.","179 lbs.","Red","Blue","Flash #110"
"159","Streak (Earth-2)",NA,"Dog","Single","None","None","Gotham City",NA,NA,NA,NA,"Green Lantern #30"
"160","Robby Reed (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"House of Mystery #156"
"161","Green Lantern Corps (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Lantern #9"
"162","Jimmy Olsen (Earth-1)","James Bartholomew Olsen; Elastic Lad","Reporter","Single","Mark Olsen (father), Jerry Olsen (cousin)","Legion of Super-Heroes","City of Metropolis","5 ft. 10 in.","164 lbs.","Red","Blue","Superman #91"
"163","Teen Titans (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brave and the Bold #60"
"164","Mark Merlin/Prince Ra-Man (Earth-1)","Mark Merlin","Occultist, Adventurer","Single","""The Mighty Merlin"" (uncle)","None","Mystery Hill Mansion, Mystery Hill in the town of Cloister","5 ft. 10 in.","157 lbs.","Brown","Blue","House of Secrets #23"
"165","Inferior Five (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Showcase #62"
"166","Metal Men (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Showcase #37"
"167","Krypto (Earth-1)","Skip","Dog","Inapplicable","Zypto (father, deceased), Nypto (grandfather, deceased), Vypto (great-grandfather, deceased)","Legion of Super-Pets","Doghouse of Solitude, somewhere in space","25 1/2 in.","40 lbs.","White","Black","Adventure Comics #210"
"168","Bizarro (Earth-1)","Bizarro-Clark Kent #1 (his non-secret identity","King of Bizarro World; as Bizarro-Clark, reporter for the Daily Htrae","Married","Bizarro-Lois #1 (wife), Bizarro Jr. (son), Bizarro-Lois Jr. (daughter)","None","Bizarro World","6 ft. 2 in.","215 lbs.","Black","Blue","Action Comics #254"
"169","Batgirl (Earth-1)","Barbara Gordon","Former Librarian, Former Congresswoman, now Associate Director of Humanities Research and Developmen","Single","James W. Gordon (father), Thelma (mother, deceased), Anthony (brother, deceased)","None","Gotham City","5 ft. 6 in.","121 lbs.","Red","Blue","Detective Comics #359"
"170","Van Zee (Earth-1)","Nightwing",NA,"Married",NA,NA,"Kandor",NA,NA,NA,NA,"Superman's Girl Friend, Lois Lane #15"
"171","Karate Kid (Earth-1)","Val Armorr","Legionnaire, Monarch Consort","Married","Kirau Nezumi (father), Valentina Armorr (mother), ""Sensei"" (adoptive father), Projectra of Orando (widow)","Legion of Super-Heroes","30th Century Orando","6 ft.","185 lbs.","Brown","Brown","Adventure Comics #346"
"172","Plastic Man (Earth-1)","""Eel"" O'Brian, Jr.","Crimefighter","Single","Eel O'Brian (father), Unnamed mother","None","Unnamed American city","Variable","180 lbs.","Black","Blue","Plastic Man #1"
"173","Hawk (Earth-1)","Henry ""Hank"" Hall","Student","Single","Judge Irwin Hall (father), Unnamed mother, Donald Hall (brother, deceased), James (uncle)","Teen Titans","Town of Elmond","5 ft. 10 in.","181 lbs.","Brown","Brown","Showcase #75"
"174","Doctor Thirteen (Earth-1)","Dr. Terrence ""Terry"" Thirteen","Ghostbreaker","Married","Marie (wife), Unnamed father (deceased), Raphael (ancestor, deceased), Daniel (ancestor, deceased), Rachel (ancestor, deceased)","None","Mobile","5 ft 11 in","168 lbs.","Brown","Brown","Star Spangled Comics #122"
"175","Deadman (Earth-1)","Boston Brand","Former Circus Aerialist, now Wandering Spirit","Single","Cleveland Brand (twin brother), Lita Brand (niece)","None","Mobile","6 ft.","201 lbs.","Black","Blue","Strange Adventures #205"
"176","Space Cabbie (Earth-1)","Unknown","Interstellar Multi-Species Transportation Expert (i.e. Space Cabby)","Single","None","C.O.S.C.P. (Cosmic Order of Space Cab Pilots); V.A.W. (Veterans of Alien Wars)","Corner of Earth and Lunar","5 ft. 10 in.","157 lbs.","Brown","Brown","Mystery in Space #21"
"177","Air Wave (Earth-1)","Harold (Hal) Jordan","Student","Single","Larry Jordan (father, deceased), Helen (mother), Hal (cousin), Jack (cousin), Jim (cousin), Jason (cousin), Jennifer (cousin)","None","Dallas, Texas","5 ft. 7 in.","140 lbs.","Brown","Brown","Green Lantern #100"
"178","Ambush Bug (Earth-1)","Irwin Schwab","Alleged super-hero","Single","None","None","Metropolis","5 ft. 10 in.","125 lbs.","None","Green","DC Comics Presents #52"
"179","Amethyst (Earth-1)","Amy Winston","Junior High School Student","Single","Herb and Marion Winston (adoptive parents), Lord and Lady Amethyst (parents, deceased)","None","Gemworld","5 ft.8 in.","122 lbs.","Blond","Violet","Legion of Super-Heroes #298"
"180","Anthro (Earth-1)","None","Cave Boy","Single","Ne-Ahn (father), Emba (stepmother), Lart (brother), Do-Ahn (uncle)","None","Prehistoric Earth","5 ft. 2 in.","126 lbs.","Brown","Brown","Showcase #74"
"181","Arion (Earth-1)","Ahri'ahn","Mage to the Court of King D'Tilluh","Single","Caculha (father, deceased), Majistra (mother, deceased), Garn (brother)","None","Atlantis, 45000 years ago","6 ft.","180 lbs.","Brown","Green","Warlord #55"
"182","All-Star Squadron (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All-Star Squadron #60"
"183","Batman (Post-Crisis)","Bruce Wayne","Multimillionaire Socialite","Single","Thomas and Martha Wayne (parents, deceased), Philip Wayne (uncle)","Justice League of America","Gotham City","6 ft. 2 in.","210 lbs.","Black","Blue","Batman #401"
"184","Superman (Post-Crisis)","Clark Kent","Adventurer, Reporter, Novelist","Married","Jor-El (father, deceased), Lara (mother, deceased), Jonathan Kent (adoptive father), Martha Clark Kent (adoptive mother), Harry Kent (adoptive uncle, deceased)","Justice League of America","Metropolis","6 ft. 3 in.","225 lbs.","Black","Blue","Man of Steel #1"
"185","Justice League (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legends #1"
"186","Green Lantern (Post-Crisis)","Harold (Hal) Jordan","Green Lantern","Single","Martin (father), Jim and Jack (brothers), Jeremiah (uncle), Lawrence (cousin), Hal (cousin), Jason (nephew), Jennifer and Jan (nieces)","Green Lantern Corps, Justice League","Mobile","6 ft.","186 lbs.","Brown","Brown","Green Lantern Corps #207"
"187","Flash (Post-Crisis)","Wallace (Wally)  West","Adventurer","Married","Rudolph Robert West (father), Mary West (mother), Barry Allen (uncle, deceased), Iris West (aunt), Ira West (adoptive grandfather), Mr. and Mrs. Edgar Rhodes (uncle and aunt), Inez Rhodes (cousin)","Justice League","Keystone City","6 ft.","175 lbs.","Red","Blue","Legends #1"
"188","Captain Carrot (Earth-C)","Roger Rodney Rabbit","Comic Book Artist","Single","None","The Zoo Crew","Follywood, Califurnia, Earth-C","2 ft. 6 in.","47 lbs.","Brown","Brown","New Teen Titans #16"
"189","Wonder Woman (Post-Crisis)","Princess Diana","Ambassador","Single","Hippolyte (mother), Antiope (aunt)","Justice League of America","Themyscira; Boston","5 ft. 11 in.","135 lbs.","Black","Blue","Wonder Woman #1"
"190","Warlord (Earth-1)","Travis Morgan","Lieutenant Colonel, United States Air Force, now Adventurer","Married","Rachel Morgan (first wife, deceased), Tara (second wife), Jennifer Morgan (daughter), Joshua (Tinder, son), Marie (sister-in-law)","None","Skartaris","6 ft.","188 lbs.","White","Blue","1st Issue Special #8"
"191","Aquaman (Post-Crisis)","Arthur Curry","Protector of the Seas and Oceans, Crimefighter","Separated","Mera (wife, separated), Arthur (son, deceased), Tom (adoptive father, deceased), Atlanna (mother, deceased), Orm (half-brother)","Justice League of America","Mobile","6 ft. 1 in.","325 lbs.","Blond","Aqua-blue","Millennium #1"
"192","Spectre (Post-Crisis)","Jim Corrigan","Police Detective","Single","Justice Society of America, All-Star Squadron",NA,"New York City","6 ft. 1 in.","184 lbs.","Red with a white streak","Blue","All-Star Squadron #67"
"193","Captain Fear (Earth-1)","Fero","Pirate; Chief of the Carib indians","Single","Quinto (father, deceased)","None","18th Century Atlantic Ocean","5 ft. 9 in.","151 lbs.","Black","Brown","Adventure Comics #425"
"194","Hourman (Post-Crisis)","Rex Tyler",NA,"Married","Rick Tyler (son)","Justice Society of America, All-Star Squadron",NA,NA,NA,NA,NA,"All-Star Squadron #60"
"195","Green Lantern (Post-Crisis)","Alan Scott",NA,"Married","Molly Mayne Scott (wife), Todd Rice (son), Jennie Lynn Hayden (daughter)","Justice Society of America, All-Star Squadron",NA,NA,NA,NA,NA,"Infinity Inc. #33"
"196","Atom (Post-Crisis)","Al Pratt",NA,NA,NA,"Justice Society of America, All-Star Squadron",NA,NA,NA,NA,NA,"All-Star Squadron #64"
"197","Doctor Fate (Post-Crisis)","Kent Nelson",NA,"Married","Inza Nelson (wife)","Justice Society of America, All-Star Squadron, Justice League of America",NA,NA,NA,NA,NA,"Legends #4"
"198","Johnny Thunder (Post-Crisis)","John L. Thunder","Various","Single","Simon B. Thunder and Mildred Thunder (parents)","Justice Society of America, All-Star Squadron","New York City","5 ft. 11 in.","176 lbs.","Blond","Blue","All-Star Squadron #67"
"199","Hawkman (Post-Crisis)","Carter Hall","Millionaire, Research Scientist, Weapons Collector, Archaeologist","Married","Shiera Sanders Hall (wife), Hector Hall (son)","Justice Society of America, All-Star Squadron","New York City",NA,NA,"Blond","Blue","All-Star Squadron #60"
"200","Crimson Avenger (Post-Crisis)","Lee Travis",NA,NA,NA,"All-Star Squadron",NA,NA,NA,NA,NA,"All-Star Squadron #64"
"201","Booster Gold (Post-Crisis)","Michael Jon Carter","Super-Hero for hire and product endorsements","Single","Ellen (mother, deceased), Michelle (twin sister)","Justice League America","New York City","6 ft. 5 in.","215 lbs.","Blond","Blue","Booster Gold #10"
"202","Legion of Super-Heroes (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legion of Super-Heroes #28"
"203","Blue Devil (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Booster Gold #10"
"204","Firestorm (Post-Crisis)","Ronald Raymond","College Student","Single","Edward Raymond (father), Elaine Rockwell (mother, deceased), Felicity Smoak Raymond (stepmother), Richard Dare (grandfather, deceased)","Justice League of America","Pittsburgh, Pennsylvania","6 ft. 6 in.","202 lbs.","Inapplicable","White","Legends #1"
"205","Beast Boy/Changeling (Post-Crisis)","Garfield Logan","Adventurer","Single","Mark and Marie Logan (deceased), Rita Farr (deceased) and Steven Dayton (stepparents)","The New Titans","Titans Tower, Manhattan, New York","5 ft. 3 in.","125 lbs.","Green","Green","Legends #1"
"206","Captain Marvel (Post-Crisis)","Billy Batson","Television journalist","Single","Donald Batson (father, deceased), Marilyn Batson (mother, deceased), Dudley Batson (great-uncle), Thaddeus Bodog Sivana (uncle), Beautia and Magnificus Sivana (cousins)","Justice League","San Francisco","6 ft. 1 in.","195 lbs","Black","Blue","Legends #1"
"207","Deadshot (Post-Crisis)","Floyd Lawton",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legends #1"
"208","Elongated Man (Post-Crisis)","Ralph Dibny",NA,"Married","Sue Dibny (wife), Ken Dibny (brother)","Justice League of America",NA,NA,NA,NA,NA,"Legends #1"
"209","Martian Manhunter (Post-Crisis)","J'onn J'onzz","Adventurer","Widower","Father, wife, and daughter (all deceased)","Justice League","Justice League Headquarters, New York City","6 ft. 7 in.","250 lbs.","None","Blue","Legends #1"
"210","Cosmic Boy (Post-Crisis)","Rokk Krinn","Legionnaire","Married","Hu Krin (father), Ewa Krinn (mother, deceased), Pol (brother, deceased), Lydda Jath Krinn (wife)","Legion of Super-Heroes","The 30th Century","6 ft.","190 lbs.","Black","Blue","Legends #1"
"211","Teen Titans (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legends #1"
"212","Outsiders (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Outsiders #14"
"213","Black Lightning (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Outsiders #14"
"214","Metamorpho (Post-Crisis)","Rex Mason",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Outsiders #14"
"215","Vigilante (Earth-1)","Adrian Chase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Teen Titans #23"
"216","Vigilante (Post-Crisis)","Adrian Chase","Professional criminal hunter","Widower","Charles Chase (father; deceased), Doris (wife; deceased), Adam (son; deceased), Drew (daughter; deceased)","None","New York City","6 ft. 2 in.","197 lbs.","Blonde","Blue","Vigilante #36"
"217","Peacemaker (Post-Crisis)","Christopher Smith",NA,"Single",NA,"Pax Institute, Checkmate",NA,NA,NA,NA,NA,"Vigilante #36"
"218","John Stewart (Post-Crisis)","Green Lantern",NA,NA,NA,"Green Lantern Corps",NA,NA,NA,NA,NA,"Green Lantern Corps #207"
"219","Guy Gardner (Post-Crisis)","Green Lantern","Ex-teacher, Ex-social worker, now hero","Single","None","Green Lantern Corps; Justice League","Earth","6 ft.","180 lbs.","Red","Blue","Green Lantern Corps #207"
"220","Green Lantern Corps (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Lantern Corps #207"
"221","Infinity, Inc. (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infinity Inc. #33"
"222","Matt Savage (Earth-1)","Trail Boss","Cattle driver and trail boss","Single","None","The Dogiron Crew","The Texas Trail, 1870s","5 ft. 10 in.","165 lbs.","Red-Brown","Blue","Western Comics #77"
"223","Nighthawk (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Comics #5"
"224","Warlord (Post-Crisis)","Travis Morgan","Lieutenant Colonel, United States Air Force, now Adventurer","Married","Tara (wife), Jennifer Morgan (daughter), Joshua (son)","None","Skartaris",NA,NA,NA,NA,"Warlord #112"
"225","Blue Beetle (Post-Crisis)","Ted Kord","Adventurer","Single","Thomas M. Kord (father), Mother (deceased)","Justice League International","JL Embassy, New York","5 ft. 11 in.","190 lbs.","Brown","Blue","Legends #2"
"226","Phantom Stranger (Post-Crisis)","Unknown","Conscience/advocator","Single","None","None","Mobile","6 ft. 2 in.","185 lbs.","White","White","Legends #2"
"227","Joker (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detective Comics #569"
"228","Catwoman (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detective Comics #569"
"229","Hawkman (Post-Crisis)","Katar Hol; Carter Hall","Museum Curator","Married","Shiera Hall (wife)","Justice League","Midway City",NA,NA,NA,NA,"Hawkman #5"
"230","Bat Lash (Earth-1)","Bartholomew Aloysius Lash","Wanted Outlaw; Professional Gambler","Single","Lemeul and Martha (parents, deceased), Thomas (brother), William (brother), Melissa (sister)","None","Late 19th Century, American Southwest","5 ft. 11 in.","167 lbs.","Blond","Blue","Showcase #76"
"231","Robin/Nightwing (Post-Crisis)","Dick Grayson","Adventurer","Single","John and Mary Grayson (parents; deceased)","Teen Titans",NA,"5 ft. 10 in.","175 lbs.","Black","Blue","Secret Origins #13"
"232","Demon (Post-Crisis)","Etrigan; Jason Blood","Deposed king o'Hell",NA,"Belial (father), Raan Va Daath (mother), Merlin (half-brother)","None","Hell",NA,NA,"None","Red","Demon #1"
"233","Swamp Thing (Post-Crisis)","Alec Holland","Earth Elemental","Married","Abby Arcane Cable Holland (wife), Tefe Holland (daughter), Linda Holland (wife, deceased)","Parliament of Trees","Houma, Louisiana","7 ft.","350 lbs.","None","Red","Swamp Thing #56"
"234","Green Arrow (Post-Crisis)","Oliver Queen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Arrow:The Longbow Hunters #1"
"235","Hawk (Post-Crisis)","Hank Hall",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fury of Firestorm #55"
"236","Demon (Earth-1)","Jason Blood; Etrigan","Demonologist","Single","The Demons of Hell","None","Gotham City","6 ft. 4 in.","352 lbs.","None","Red","Demon #1"
"237","Mister Miracle (Earth-1)","Scott Free","Escape Artist","Married","Barda (wife), Izaya (father), Avia (mother, deceased)","New Gods","Supertown and America","6 ft.","185 lbs.","Black","Blue","Mister Miracle #1"
"238","Man-Bat (Earth-1)","Kirk Langstrom","Zoologist, former Detective","Married","Francine (wife), Rebecca Elizabeth (daughter), Britt (sister)","None","Gotham City, formerly New York and Chicago","6 ft. 1 in.","201 lbs.","Brown","Brown","Detective Comics #400"
"239","Jason Bard (Earth-1)",NA,"Private Investigator","Single","Rose Bard (mother, deceased), Unnamed father (deceased)","None","Gotham City","6 ft.","175 lbs.","Brown","Brown","Detective Comics #392"
"240","Justice Society of America (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All-Star Squadron #67"
"241","John Constantine (Post-Crisis)",NA,NA,NA,"Cheryl Masters (sister), Gemma Masters (niece)",NA,NA,NA,NA,NA,NA,"Swamp Thing #65"
"242","Cyborg (Post-Crisis)","Victor Stone",NA,NA,NA,"Teen Titans",NA,NA,NA,NA,NA,"Action Comics #584"
"243","Kamandi (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kamandi, the Last Boy on Earth #1"
"244","Wonder Girl/Troia (Post-Crisis)","Donna Troy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action Comics #584"
"245","Suicide Squad (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legends #3"
"246","Richard Dragon (Earth-1)",NA,"Martial Arts Instructor","Single","Unnamed father (deceased)","None","New York City","6 ft.","175 lbs.","Red","Blue","Richard Dragon, Kung-Fu Fighter #1"
"247","Unknown Soldier (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Star Spangled War Stories #151"
"248","Hellcats (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Our Fighting Forces #106"
"249","Capt. Hunter (Earth-1)","Capt. Phil Hunter","Former Marine Corps Captain","Single","Nick Hunter (twin brother), Ben Hunter (father)","U.S. Marine Corps (Retired)","Vietnam",NA,NA,NA,NA,"Our Fighting Forces #99"
"250","Jonny Double (Earth-1)","Jonathan Sebastian Double","Private Investigator; former Police Detective","Single","None","None","San Francisco","5 ft. 11 in.","178 lbs.","Reddish blond","Blue","Showcase #78"
"251","Captain Action (Earth-1)","Clive Arno","Professor of archaeology",NA,"Carl Arno (son)",NA,NA,NA,NA,NA,NA,"Captain Action #1"
"252","Power Girl (Post-Crisis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secret Origins #11"
"253","Atom (Post-Crisis)","Raymond (Ray) Palmer","Former physics professor","Separated","David Palmer (father, deceased), Susan Taylor (mother, deceased), Jean Palmer (ex-wife)","Justice League","Ivy Town","6 ft.","180 lbs.","Auburn","Brown","Sword of the Atom Special #3"
"254","Kobra (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kobra #1"
"255","Black Orchid (Earth-1)","Unknown","Professional Crimefighter","Unknown","None","None","Mobile","5 ft. 8 in.","Unknown","Unknown","Unknown","Adventure Comics #428"
